Affinity Row ID,Organization Id,Name,Website,Coverage status,People,Status,Sector,Sub-sector,Investment Manager,Description,Primary Owner,Deal Team,Priority,Investors,Source Name,Source Type,Date Added,Time in Current Status,Investment Stage,AIN PoV,Potential Outlier-Investor flag,Pipeline Type
row_0,org_00000,Anthropic,anthropic.com,Pending,251,Lead,Cybersecurity,Enterprise,John Smith,Innovative company focused on analytics solutions,Team B,Gamma,Low,"YC, GV",Conference,Indirect,2024-09-19,101,Seed,Under Review,Yes,Standard
row_1,org_00001,GridHQ,gridhq.com,Active,391,In Discussion,AI/ML,Consumer,Sarah Johnson,Innovative company focused on cloud solutions,Team A,Beta,High,Accel,Research,Indirect,2024-07-25,96,Seed,Neutral,No,Standard
row_2,org_00002,Splunk,splunk.com,Pending,247,Lead,CleanTech,Infrastructure,Michael Chen,Innovative company focused on ML solutions,Team C,Gamma,Low,"GV, Accel, YC",Internal,Referral,2025-01-08,128,Series B,Neutral,No,Standard
row_3,org_00003,Snowflake,snowflake.com,Pending,35,In Discussion,FinTech,B2C,John Smith,Innovative company focused on security solutions,Team A,Beta,Low,,Internal,Referral,2025-03-24,26,Series C,Positive,Yes,Strategic
row_4,org_00004,Space,space.app,Active,44,Due Diligence,AI/ML,B2B,Emma Davis,Innovative company focused on ML solutions,Team A,Gamma,High,,Conference,Direct,2025-01-15,66,Series C,Under Review,Yes,Fast Track
row_5,org_00005,WaveHQ,wavehq.com,Active,233,In Discussion,CleanTech,Infrastructure,John Smith,Innovative company focused on AI solutions,Team C,Beta,High,a16z,Conference,Indirect,2025-05-08,140,Seed,Positive,Yes,Strategic
row_6,org_00006,MetaLogicBase,metalogicbase.com,Pending,40,In Discussion,FinTech,Consumer,John Smith,Innovative company focused on AI solutions,Team B,Delta,Medium,"a16z, YC, Sequoia",Internal,Referral,2025-05-06,22,Series B,Negative,Yes,Fast Track
row_7,org_00007,Okta,okta.com,Inactive,412,Passed,HealthTech,B2B,Michael Chen,Innovative company focused on analytics solutions,Team C,Delta,Medium,,External Referral,Referral,2024-09-06,17,Series C,Positive,Yes,Strategic
row_8,org_00008,getSphere,trygetsphere.com,Pending,227,Closed,SaaS,Enterprise,Michael Chen,Innovative company focused on cloud solutions,Team A,Alpha,Low,,Internal,Indirect,2024-12-12,7,Seed,Positive,No,Fast Track
row_9,org_00009,Notion,notion.so,Pending,10,Closed,SaaS,B2C,Michael Chen,Innovative company focused on AI solutions,Team C,Gamma,High,Sequoia,External Referral,Referral,2024-09-24,107,Series B,Neutral,No,Strategic
row_10,org_00010,NeoFlowLabs,joinneoflowlabs.com,Pending,326,Due Diligence,AI/ML,Enterprise,Sarah Johnson,Innovative company focused on cloud solutions,Team A,Beta,High,,Conference,Referral,2025-04-05,68,Series A,Positive,No,Strategic
row_11,org_00011,getForce,getforce.com,Pending,472,Due Diligence,CleanTech,Consumer,Sarah Johnson,Innovative company focused on security solutions,Team C,Gamma,Medium,,External Referral,Indirect,2025-02-17,128,Series B,Negative,No,Fast Track
row_12,org_00012,Mind,usemind.com,Active,224,Closed,SaaS,B2B,John Smith,Innovative company focused on ML solutions,Team C,Delta,Low,"Accel, a16z, Sequoia",Research,Referral,2024-10-27,37,Series B,Neutral,Yes,Fast Track
row_13,org_00013,LinkApp,linkapp.xyz,Pending,79,Passed,CleanTech,Consumer,Michael Chen,Innovative company focused on analytics solutions,Team B,Gamma,Low,Sequoia,Conference,Indirect,2024-09-18,38,Growth,Negative,Yes,Fast Track
row_14,org_00014,CloudShiftHub,cloudshifthub.so,Inactive,8,Closed,CleanTech,B2B,John Smith,Innovative company focused on ML solutions,Team A,Beta,Medium,,Internal,Referral,2025-01-09,96,Growth,Positive,No,Fast Track
row_15,org_00015,SignalAI,usesignalai.ai,Active,339,Passed,AI/ML,Infrastructure,Emma Davis,Innovative company focused on AI solutions,Team B,Gamma,High,,Internal,Indirect,2025-04-13,139,Series A,Negative,No,Fast Track
row_16,org_00016,NodeAI,nodeai.ai,Inactive,138,Due Diligence,AI/ML,B2C,Emma Davis,Innovative company focused on AI solutions,Team A,Beta,Medium,Sequoia,Conference,Referral,2025-04-05,1,Series A,Negative,Yes,Fast Track
row_17,org_00017,GridAI,gridai.tech,Inactive,122,Lead,AI/ML,Infrastructure,Michael Chen,Innovative company focused on ML solutions,Team C,Delta,Medium,"a16z, GV",Conference,Referral,2025-05-01,153,Series B,Positive,No,Fast Track
row_18,org_00018,Zoom,zoom.us,Inactive,373,Due Diligence,SaaS,Infrastructure,Michael Chen,Innovative company focused on AI solutions,Team A,Delta,Medium,"GV, Accel",Research,Indirect,2025-02-28,42,Series C,Positive,Yes,Fast Track
row_19,org_00019,Notion,notion.so,Inactive,98,Due Diligence,AI/ML,Consumer,Emma Davis,Innovative company focused on cloud solutions,Team B,Delta,Medium,a16z,Conference,Referral,2025-03-07,152,Series A,Neutral,Yes,Strategic
row_20,org_00020,AIMind,aimind.tech,Active,490,In Discussion,SaaS,B2C,Michael Chen,Innovative company focused on analytics solutions,Team B,Alpha,High,,Internal,Indirect,2024-07-23,63,Series B,Neutral,Yes,Fast Track
row_21,org_00021,DataLinkLabs,datalinklabs.io,Active,439,In Discussion,AI/ML,B2B,Sarah Johnson,Innovative company focused on analytics solutions,Team B,Delta,Medium,,Research,Indirect,2024-10-16,81,Seed,Under Review,No,Fast Track
row_22,org_00022,DocuSign,docusign.com,Inactive,66,In Discussion,Cybersecurity,B2B,Sarah Johnson,Innovative company focused on cloud solutions,Team A,Gamma,High,"YC, YC, YC",Internal,Referral,2024-09-02,8,Growth,Neutral,No,Strategic
row_23,org_00023,LinkLabs,uselinklabs.com,Inactive,445,In Discussion,CleanTech,Enterprise,Michael Chen,Innovative company focused on analytics solutions,Team B,Alpha,Medium,a16z,External Referral,Direct,2024-10-01,173,Series C,Positive,No,Strategic
row_24,org_00024,ScaleLabs,getscalelabs.com,Active,198,Passed,AI/ML,B2B,Emma Davis,Innovative company focused on ML solutions,Team B,Delta,Low,"GV, a16z, a16z",Conference,Referral,2025-02-13,27,Series B,Negative,No,Standard
row_25,org_00025,ForceLabs,joinforcelabs.com,Active,339,Closed,FinTech,Consumer,John Smith,Innovative company focused on ML solutions,Team B,Gamma,High,Accel,External Referral,Direct,2024-10-13,52,Seed,Negative,No,Standard
row_26,org_00026,MetaWaveBase,metawavebase.com,Active,207,Lead,CleanTech,Infrastructure,Michael Chen,Innovative company focused on cloud solutions,Team C,Gamma,Low,Sequoia,Internal,Direct,2024-08-30,146,Growth,Neutral,Yes,Fast Track
row_27,org_00027,DriftWorks,driftworks.com,Pending,396,Due Diligence,CleanTech,Infrastructure,Michael Chen,Innovative company focused on analytics solutions,Team C,Gamma,Medium,,External Referral,Referral,2024-12-20,91,Seed,Neutral,No,Fast Track
row_28,org_00028,Atlassian,atlassian.com,Pending,30,Passed,AI/ML,Infrastructure,John Smith,Innovative company focused on analytics solutions,Team A,Beta,Medium,GV,External Referral,Direct,2025-01-27,86,Series B,Positive,Yes,Standard
row_29,org_00029,NeoWave,neowave.com,Pending,439,Lead,HealthTech,B2C,Michael Chen,Innovative company focused on security solutions,Team A,Alpha,Medium,"Sequoia, Accel, Accel",Internal,Indirect,2024-10-10,16,Series A,Negative,Yes,Standard
row_30,org_00030,NeoSpaceTech,neospacetech.tech,Inactive,177,Passed,AI/ML,B2B,John Smith,Innovative company focused on ML solutions,Team B,Gamma,High,,Internal,Indirect,2024-08-17,66,Growth,Under Review,Yes,Fast Track
row_31,org_00031,StreamLabs,joinstreamlabs.com,Pending,304,Passed,CleanTech,Consumer,Emma Davis,Innovative company focused on ML solutions,Team C,Beta,Low,"Accel, a16z, Accel",Conference,Direct,2025-02-17,5,Seed,Under Review,No,Standard
row_32,org_00032,FlowOps,flowops.io,Inactive,137,Due Diligence,FinTech,B2C,Sarah Johnson,Innovative company focused on cloud solutions,Team B,Delta,High,,External Referral,Indirect,2025-01-27,82,Series A,Neutral,No,Fast Track
row_33,org_00033,SpaceHQ,spacehq.so,Inactive,330,Closed,CleanTech,Enterprise,Emma Davis,Innovative company focused on cloud solutions,Team B,Gamma,High,GV,Research,Referral,2024-11-21,131,Series C,Under Review,No,Strategic
row_34,org_00034,Zoom,zoom.us,Pending,414,In Discussion,FinTech,Consumer,Sarah Johnson,Innovative company focused on cloud solutions,Team C,Beta,Medium,"GV, Sequoia",Research,Indirect,2024-06-30,118,Series B,Positive,No,Strategic
row_35,org_00035,Figma,figma.com,Inactive,122,Closed,SaaS,Consumer,John Smith,Innovative company focused on ML solutions,Team C,Gamma,Low,Sequoia,Internal,Direct,2025-01-12,81,Series B,Under Review,No,Standard
row_36,org_00036,Dropbox,dropbox.com,Pending,328,Due Diligence,Cybersecurity,Consumer,Sarah Johnson,Innovative company focused on AI solutions,Team C,Alpha,Medium,YC,Internal,Referral,2025-02-13,70,Growth,Neutral,No,Strategic
row_37,org_00037,Sphere,sphere.com,Pending,279,Due Diligence,CleanTech,Infrastructure,Emma Davis,Innovative company focused on security solutions,Team A,Alpha,High,a16z,External Referral,Indirect,2025-03-06,115,Seed,Positive,No,Strategic
row_38,org_00038,Cloudflare,cloudflare.com,Active,216,Due Diligence,AI/ML,Consumer,Sarah Johnson,Innovative company focused on analytics solutions,Team A,Delta,Medium,"GV, YC, a16z",Internal,Referral,2024-09-26,7,Series C,Negative,No,Strategic
row_39,org_00039,Notion,notion.so,Pending,229,Lead,SaaS,B2B,John Smith,Innovative company focused on ML solutions,Team B,Gamma,Low,,Research,Direct,2024-08-28,50,Growth,Positive,Yes,Strategic
row_40,org_00040,SmartStream,smartstream.com,Active,24,Closed,Cybersecurity,Consumer,Sarah Johnson,Innovative company focused on AI solutions,Team A,Beta,Medium,,Conference,Indirect,2024-07-06,142,Growth,Neutral,No,Fast Track
row_41,org_00041,Shopify,shopify.com,Pending,117,Closed,AI/ML,Infrastructure,Michael Chen,Innovative company focused on AI solutions,Team C,Delta,Low,Sequoia,Conference,Referral,2024-10-23,166,Seed,Neutral,Yes,Fast Track
row_42,org_00042,Signal,signal.com,Pending,144,Passed,HealthTech,Consumer,Emma Davis,Innovative company focused on security solutions,Team C,Gamma,Low,a16z,External Referral,Referral,2025-02-23,111,Series C,Under Review,Yes,Standard
row_43,org_00043,GridHQ,gridhq.com,Active,51,Passed,AI/ML,Enterprise,Michael Chen,Innovative company focused on cloud solutions,Team A,Delta,Medium,YC,Conference,Indirect,2025-01-23,47,Seed,Under Review,Yes,Strategic
row_44,org_00044,Gusto,gusto.com,Active,5,Passed,FinTech,Enterprise,John Smith,Innovative company focused on cloud solutions,Team B,Beta,High,Accel,Internal,Referral,2025-05-22,112,Series B,Negative,Yes,Strategic
row_45,org_00045,Mercury,mercury.com,Pending,94,Due Diligence,FinTech,Infrastructure,Sarah Johnson,Innovative company focused on cloud solutions,Team B,Delta,Medium,,Internal,Referral,2025-02-26,161,Series A,Negative,No,Strategic
row_46,org_00046,Code,code.dev,Inactive,146,Closed,HealthTech,B2B,Michael Chen,Innovative company focused on ML solutions,Team A,Delta,High,"GV, Accel",Internal,Direct,2025-02-04,43,Series B,Neutral,No,Standard
row_47,org_00047,Confluent,confluent.io,Active,324,Due Diligence,SaaS,B2B,Michael Chen,Innovative company focused on security solutions,Team B,Delta,High,"Sequoia, a16z",Internal,Direct,2024-08-15,91,Series B,Neutral,Yes,Fast Track
row_48,org_00048,getMind,getmind.com,Inactive,42,Lead,Cybersecurity,B2C,Sarah Johnson,Innovative company focused on ML solutions,Team B,Gamma,Medium,,External Referral,Direct,2024-08-04,29,Growth,Neutral,Yes,Strategic
row_49,org_00049,DriftHQ,drifthq.com,Inactive,297,Passed,AI/ML,Infrastructure,Sarah Johnson,Innovative company focused on cloud solutions,Team B,Beta,High,Sequoia,Conference,Direct,2024-11-17,128,Series B,Negative,Yes,Fast Track
row_50,org_00050,getSphere,getsphere.com,Inactive,386,Due Diligence,FinTech,Consumer,Emma Davis,Innovative company focused on AI solutions,Team C,Alpha,High,"Accel, a16z, a16z",Research,Direct,2025-06-03,133,Series C,Neutral,No,Standard
row_51,org_00051,NextCodeWorks,nextcodeworks.dev,Active,143,Due Diligence,SaaS,Infrastructure,Michael Chen,Innovative company focused on analytics solutions,Team C,Gamma,Medium,,Conference,Direct,2025-04-05,96,Series B,Negative,Yes,Fast Track
row_52,org_00052,Atlassian,atlassian.com,Inactive,360,Lead,HealthTech,B2C,Michael Chen,Innovative company focused on analytics solutions,Team A,Alpha,Medium,GV,Internal,Indirect,2024-09-27,117,Series C,Neutral,Yes,Strategic
row_53,org_00053,StreamWorks,usestreamworks.com,Active,337,In Discussion,CleanTech,Infrastructure,John Smith,Innovative company focused on analytics solutions,Team C,Alpha,Medium,a16z,Research,Direct,2025-01-15,70,Seed,Positive,No,Fast Track
row_54,org_00054,getSpace,getspace.so,Inactive,495,Closed,FinTech,Infrastructure,Emma Davis,Innovative company focused on AI solutions,Team B,Gamma,High,"a16z, YC, Sequoia",External Referral,Referral,2025-01-06,130,Growth,Positive,Yes,Fast Track
row_55,org_00055,CodeAI,codeai.tech,Pending,263,In Discussion,HealthTech,B2C,John Smith,Innovative company focused on analytics solutions,Team C,Gamma,Low,GV,Internal,Indirect,2025-04-21,70,Series C,Neutral,No,Standard
row_56,org_00056,LogicCloud,logiccloud.app,Pending,165,Passed,AI/ML,B2B,Michael Chen,Innovative company focused on ML solutions,Team A,Beta,High,YC,Internal,Referral,2024-11-30,110,Series B,Positive,No,Standard
row_57,org_00057,SpaceLabs,spacelabs.app,Active,394,Due Diligence,Cybersecurity,Consumer,John Smith,Innovative company focused on cloud solutions,Team C,Beta,Low,,Research,Direct,2025-02-16,171,Growth,Negative,Yes,Standard
row_58,org_00058,Palantir,palantir.com,Pending,182,Lead,FinTech,B2C,Michael Chen,Innovative company focused on AI solutions,Team B,Delta,Medium,"a16z, Sequoia",External Referral,Direct,2025-04-21,132,Growth,Under Review,Yes,Standard
row_59,org_00059,DataMindApp,datamindapp.tech,Pending,14,Lead,FinTech,Enterprise,Michael Chen,Innovative company focused on ML solutions,Team B,Alpha,Low,GV,Research,Referral,2025-03-18,56,Series C,Positive,Yes,Fast Track
row_60,org_00060,DriftLabs,joindriftlabs.com,Inactive,265,Closed,AI/ML,B2B,John Smith,Innovative company focused on security solutions,Team A,Beta,Medium,YC,External Referral,Referral,2024-10-21,89,Series C,Under Review,No,Fast Track
row_61,org_00061,SphereHQ,tryspherehq.com,Active,411,In Discussion,CleanTech,Enterprise,John Smith,Innovative company focused on ML solutions,Team C,Delta,Medium,"a16z, Sequoia, a16z",Internal,Referral,2024-12-24,137,Series A,Positive,No,Standard
row_62,org_00062,HubSpot,hubspot.com,Inactive,142,Closed,SaaS,B2B,Sarah Johnson,Innovative company focused on analytics solutions,Team C,Beta,Low,"Sequoia, Accel, a16z",Conference,Indirect,2024-08-27,131,Series A,Negative,No,Standard
